"x","y","sst","chlo","a","b","phyto_max"
-177.5,87.5,NA,NA,NA,NA,NA
-172.5,87.5,NA,NA,NA,NA,NA
-167.5,87.5,NA,NA,NA,NA,NA
-162.5,87.5,NA,NA,NA,NA,NA
-157.5,87.5,NA,NA,NA,NA,NA
-152.5,87.5,NA,NA,NA,NA,NA
-147.5,87.5,NA,NA,NA,NA,NA
-142.5,87.5,NA,NA,NA,NA,NA
-137.5,87.5,NA,NA,NA,NA,NA
-132.5,87.5,NA,NA,NA,NA,NA
-127.5,87.5,NA,NA,NA,NA,NA
-122.5,87.5,NA,NA,NA,NA,NA
-117.5,87.5,NA,NA,NA,NA,NA
-112.5,87.5,NA,NA,NA,NA,NA
-107.5,87.5,NA,NA,NA,NA,NA
-102.5,87.5,NA,NA,NA,NA,NA
-97.5,87.5,NA,NA,NA,NA,NA
-92.5,87.5,NA,NA,NA,NA,NA
-87.5,87.5,NA,NA,NA,NA,NA
-82.5,87.5,NA,NA,NA,NA,NA
-77.5,87.5,NA,NA,NA,NA,NA
-72.5,87.5,NA,NA,NA,NA,NA
-67.5,87.5,NA,NA,NA,NA,NA
-62.5,87.5,NA,NA,NA,NA,NA
-57.5,87.5,NA,NA,NA,NA,NA
-52.5,87.5,NA,NA,NA,NA,NA
-47.5,87.5,NA,NA,NA,NA,NA
-42.5,87.5,NA,NA,NA,NA,NA
-37.5,87.5,NA,NA,NA,NA,NA
-32.5,87.5,NA,NA,NA,NA,NA
-27.5,87.5,NA,NA,NA,NA,NA
-22.5,87.5,NA,NA,NA,NA,NA
-17.5,87.5,NA,NA,NA,NA,NA
-12.5,87.5,NA,NA,NA,NA,NA
-7.5,87.5,NA,NA,NA,NA,NA
-2.5,87.5,NA,NA,NA,NA,NA
2.5,87.5,NA,NA,NA,NA,NA
7.5,87.5,NA,NA,NA,NA,NA
12.5,87.5,NA,NA,NA,NA,NA
17.5,87.5,NA,NA,NA,NA,NA
22.5,87.5,NA,NA,NA,NA,NA
27.5,87.5,NA,NA,NA,NA,NA
32.5,87.5,NA,NA,NA,NA,NA
37.5,87.5,NA,NA,NA,NA,NA
42.5,87.5,NA,NA,NA,NA,NA
47.5,87.5,NA,NA,NA,NA,NA
52.5,87.5,NA,NA,NA,NA,NA
57.5,87.5,NA,NA,NA,NA,NA
62.5,87.5,NA,NA,NA,NA,NA
67.5,87.5,NA,NA,NA,NA,NA
72.5,87.5,NA,NA,NA,NA,NA
77.5,87.5,NA,NA,NA,NA,NA
82.5,87.5,NA,NA,NA,NA,NA
87.5,87.5,NA,NA,NA,NA,NA
92.5,87.5,NA,NA,NA,NA,NA
97.5,87.5,NA,NA,NA,NA,NA
102.5,87.5,NA,NA,NA,NA,NA
107.5,87.5,NA,NA,NA,NA,NA
112.5,87.5,NA,NA,NA,NA,NA
117.5,87.5,NA,NA,NA,NA,NA
122.5,87.5,NA,NA,NA,NA,NA
127.5,87.5,NA,NA,NA,NA,NA
132.5,87.5,NA,NA,NA,NA,NA
137.5,87.5,NA,NA,NA,NA,NA
142.5,87.5,NA,NA,NA,NA,NA
147.5,87.5,NA,NA,NA,NA,NA
152.5,87.5,NA,NA,NA,NA,NA
157.5,87.5,NA,NA,NA,NA,NA
162.5,87.5,NA,NA,NA,NA,NA
167.5,87.5,NA,NA,NA,NA,NA
172.5,87.5,NA,NA,NA,NA,NA
