"","x","y","sst","chlo","a","b","phyto_max","dt"
"1",-177.5,72.5,1.11377501860568,0.147387413627879,-2.92458560392799,-1.06556889018965,-8.1,0.01
"2",-172.5,72.5,1.09073314212618,0.182475390568452,-2.55998341697163,-1.04103828213514,-8.1,0.01
"3",-167.5,72.5,1.16480261571284,0.230102126319591,-2.15246075200004,-1.01279954431407,-8,0.01
"4",-162.5,72.5,0.80122395959093,0.177227396811055,-2.6105030740574,-1.04447916552485,-8.1,0.01
"5",-157.5,72.5,0.567779205103134,0.109556748668651,-3.40743452543107,-1.09693671409155,-8.2,0.01
"6",-152.5,72.5,0.528908422718881,0.0818116712357788,-3.85000894232974,-1.12447108429119,-8.2,0.01
"7",-147.5,72.5,0.550638885851263,0.0683324840526647,-4.10469158146034,-1.13972441439017,-8.2,0.01
"8",-142.5,72.5,0.468715088455768,0.0942185014260339,-3.64040747307599,-1.11158509505916,-8.2,0.01
"9",-137.5,72.5,0.619886193452061,0.233168229899898,-2.12894302203492,-1.01114397621985,-8,0.01
"10",-132.5,72.5,0.869835069444448,0.257205862777187,-1.95406665060323,-0.99874541640696,-8,0.01
"11",-127.5,72.5,0.878835437915947,0.0981441097438813,-3.57825638967816,-1.10770990042584,-8.2,0.01
"12",-77.5,72.5,0.832197957316409,0.196794044312169,-2.4283253596148,-1.03200869310096,-8.1,0.01
"13",-72.5,72.5,0.831657999659347,0.14706568721263,-2.92825028278984,-1.06581184688748,-8.1,0.01
"14",-67.5,72.5,0.938917017739923,0.136512102700864,-3.05223678557072,-1.07398860737401,-8.1,0.01
"15",-62.5,72.5,0.988939174605011,0.130548348042561,-3.1257464525357,-1.07879649103428,-8.1,0.01
"16",-57.5,72.5,1.49612706754574,0.289808523653487,-1.74059088655106,-0.983401496576287,-8,0.01
"17",-22.5,72.5,0.768845194105124,0.15491997498324,-2.84060785845027,-1.05998155563269,-8.1,0.01
"18",-17.5,72.5,0.865395575694224,0.354133579064521,-1.38289411841012,-0.957182606790321,-7.9,0.01
"19",-12.5,72.5,1.5999705674577,0.7858296749795,-0.0875518772011914,-0.857132829727759,-7.6,0.01
