TAXON_NAME,NEW_NAME,FREQUENCY,FEED
Acartia,Acartia spp. ,4169,CO
Acartia amboinensis ,Acartia amboinensis ,5,CO
Acartia bifilosa ,Acartia bifilosa ,1053,CO
Acartia clausi ,Acartia clausi ,4288,CO
Acartia danae ,Acartia danae ,2362,CO
Acartia erythraea ,Acartia erythraea ,1952,CO
Acartia latisetosa ,Acartia latisetosa ,2,CO
Acartia longiremis ,Acartia longiremis ,1542,CO
Acartia negligens ,Acartia negligens ,4838,CO
Acartia sp. ,Acartia spp. ,4251,CO
Acartia spinata ,Acartia spinata ,2,CO
Acartia spinicauda ,Acartia spinicauda ,124,CO
Acartia spp. ,Acartia spp. ,2510,CO
Acartia tonsa ,Acartia tonsa ,114,CO
Acrocalanus andersoni ,Acrocalanus andersoni ,1,CH
Acrocalanus gibber ,Acrocalanus gibber ,7661,CH
Acrocalanus gracilis ,Acrocalanus gracilis ,1803,CH
Acrocalanus indicus ,Acrocalanus indicus ,328,CH
Acrocalanus longicornis ,Acrocalanus longicornis ,1283,CH
Acrocalanus monachus ,Acrocalanus monachus ,536,CH
Acrocalanus sp. ,Acrocalanus spp. ,290,CH
Acrocalanus spp. ,Acrocalanus spp. ,344,CH
Aegisthus ,Aegisthus spp. ,105,SF
Aegisthus aculeatus ,Aegisthus aculeatus ,2,SF
Aegisthus atlanticus ,Aegisthus atlanticus ,10,SF
Aegisthus dubius ,Aegisthus dubius ,19,SF
Aegisthus mucronatus ,Aegisthus mucronatus ,210,SF
Aegisthus sp. ,Aegisthus spp. ,13,SF
Aegisthus spp. ,Aegisthus spp. ,17,SF
Aetideidae ,Aetideidae ,30,CO
Aetideidae sp. ,Aetideidae ,4,CO
Aetideidae spp. ,Aetideidae ,1,CO
Aetideopsis armata ,Aetideopsis armata ,6,CO
Aetideopsis carinata ,Aetideopsis carinata ,10,CO
Aetideopsis multiserrata ,Aetideopsis multiserrata ,28,CO
Aetideopsis rostrata ,Aetideopsis rostrata ,34,CO
Aetideopsis sp. ,Aetideopsis spp. ,1,CO
Aetideopsis spp. ,Aetideopsis spp. ,1,CO
Aetideus ,Aetideus spp. ,840,CO
Aetideus acutus ,Aetideus acutus ,187,CO
Aetideus armatus ,Aetideus armatus ,2370,CO
Aetideus australis ,Aetideus australis ,13,CO
Aetideus bradyi ,Aetideus bradyi ,3,CO
Aetideus giesbrechti ,Aetideus giesbrechti ,610,CO
Aetideus pacificus ,Aetideus pacificus ,119,CO
Aetideus sp. ,Aetideus spp. ,91,CO
Aetideus spp. ,Aetideus spp. ,210,CO
Alteutha spp. ,Alteutha spp. ,7,CBF
Amallophora spp. ,Amallophora spp. ,1,CH
Amallothrix ,Amallothrix spp. ,630,CH
Amallothrix arcuata ,Amallothrix arcuata ,1,CH
Amallothrix falcifer ,Amallothrix falcifer ,8,CH
Amallothrix propinqua ,Amallothrix propinqua ,3,CH
Amallothrix sp. ,Amallothrix spp. ,1,CH
Amallothrix spinata ,Amallothrix spinata ,2,CH
Amallothrix spp. ,Amallothrix spp. ,68,CH
Amallothrix valida ,Amallothrix valida ,2,CH
Anomalocera ,Anomalocera spp. ,8,CC
Anomalocera patersoni ,Anomalocera patersoni ,20,CC
Anomalocera sp. ,Anomalocera spp. ,2,CC
Anomalocera spp. ,Anomalocera spp. ,1,CC
Archinotodelphyidae ,Archinotodelphyidae ,12,CH
Arietellus armata ,Arietellus armata ,33,CD
Arietellus giesbrechti ,Arietellus giesbrechti ,2,CD
Arietellus pavoninus ,Arietellus pavoninus ,1,CD
Arietellus setosus ,Arietellus setosus ,15,CD
Arietellus spp. ,Arietellus spp. ,32,CD
Asterocheridae ,Asterocheridae ,22,CP
Augaptilidae ,Augaptilidae ,14,CC
Augaptilus anceps ,Augaptilus anceps ,2,CC
Augaptilus glacialis ,Augaptilus glacialis ,60,CC
Augaptilus longicaudatus ,Augaptilus longicaudatus ,46,CC
Augaptilus megalurus ,Augaptilus megalurus ,1,CC
Augaptilus sp. ,Augaptilus spp. ,3,CC
Augaptilus spinifrons ,Augaptilus spinifrons ,6,CC
Augaptilus spp. ,Augaptilus spp. ,125,CC
Bathycalanus spp. ,Bathycalanus spp. ,2,CH
