"lon","lat","bathy"
-180,90,-4094.4883
-179,90,-4094.4883
-178,90,-4094.4883
-177,90,-4062.9922
-176,90,-4031.496
-175,90,-3968.504
-174,90,-3937.0078
-173,90,-3905.5117
-172,90,-3874.0159
-171,90,-3874.0159
-170,90,-3905.5117
-169,90,-3937.0078
-168,90,-4000
-167,90,-4031.496
-166,90,-4062.9922
-165,90,-4062.9922
-164,90,-4094.4883
-163,90,-4094.4883
-162,90,-4094.4883
-161,90,-4094.4883
-160,90,-4094.4883
-159,90,-4125.9844
-158,90,-4125.9844
-157,90,-4125.9844
-156,90,-4094.4883
-155,90,-4094.4883
-154,90,-4062.9922
-153,90,-4062.9922
-152,90,-4031.496
-151,90,-4031.496
-150,90,-4000
-149,90,-4000
-148,90,-4000
-147,90,-4000
-146,90,-3968.504
-145,90,-3968.504
-144,90,-3937.0078
-143,90,-3905.5117
-142,90,-3874.0159
-141,90,-3811.0237
-140,90,-3811.0237
-139,90,-3811.0237
-138,90,-3779.5276
-137,90,-3748.0315
-136,90,-3716.5354
-135,90,-3685.0393
-134,90,-3653.5432
-133,90,-3685.0393
-132,90,-3716.5354
-131,90,-3779.5276
-130,90,-3811.0237
-129,90,-3842.5198
-128,90,-3874.0159
-127,90,-3874.0159
-126,90,-3874.0159
-125,90,-3874.0159
-124,90,-3842.5198
-123,90,-3779.5276
-122,90,-3779.5276
-121,90,-3748.0315
-120,90,-3716.5354
-119,90,-3685.0393
-118,90,-3716.5354
-117,90,-3748.0315
-116,90,-3811.0237
-115,90,-3905.5117
-114,90,-4000
-113,90,-4062.9922
-112,90,-4157.4805
-111,90,-4188.9766
-110,90,-4188.9766
-109,90,-4220.4727
-108,90,-4188.9766
-107,90,-4157.4805
-106,90,-4094.4883
-105,90,-4000
-104,90,-3937.0078
-103,90,-3937.0078
-102,90,-3937.0078
-101,90,-3937.0078
-100,90,-3905.5117
-99,90,-3874.0159
-98,90,-3874.0159
-97,90,-3874.0159
-96,90,-3905.5117
-95,90,-3811.0237
-94,90,-3653.5432
-93,90,-3527.559
-92,90,-3590.5513
-91,90,-3653.5432
-90,90,-3716.5354
-89,90,-3779.5276
-88,90,-3842.5198
-87,90,-3905.5117
-86,90,-3937.0078
-85,90,-3968.504
-84,90,-3968.504
-83,90,-4000
-82,90,-4000
-81,90,-4000
-80,90,-4000
-79,90,-4000
-78,90,-3968.504
-77,90,-3968.504
-76,90,-3968.504
-75,90,-4000
-74,90,-3968.504
-73,90,-3937.0078
-72,90,-3874.0159
-71,90,-3874.0159
-70,90,-3842.5198
-69,90,-3811.0237
-68,90,-3811.0237
-67,90,-3842.5198
-66,90,-3842.5198
-65,90,-3905.5117
-64,90,-3937.0078
-63,90,-3968.504
-62,90,-4000
-61,90,-4000
-60,90,-4031.496
-59,90,-4031.496
-58,90,-4062.9922
-57,90,-4062.9922
-56,90,-4062.9922
-55,90,-4094.4883
-54,90,-4094.4883
-53,90,-4094.4883
-52,90,-4094.4883
-51,90,-4094.4883
-50,90,-4125.9844
-49,90,-4125.9844
-48,90,-4125.9844
-47,90,-4157.4805
-46,90,-4157.4805
-45,90,-4188.9766
-44,90,-4188.9766
-43,90,-4157.4805
-42,90,-4157.4805
-41,90,-4125.9844
-40,90,-4125.9844
-39,90,-4125.9844
-38,90,-4125.9844
-37,90,-4125.9844
-36,90,-4125.9844
-35,90,-4125.9844
-34,90,-4125.9844
-33,90,-4125.9844
-32,90,-4157.4805
-31,90,-4157.4805
-30,90,-4157.4805
-29,90,-4157.4805
-28,90,-4157.4805
-27,90,-4157.4805
-26,90,-4157.4805
-25,90,-4157.4805
-24,90,-4157.4805
-23,90,-4157.4805
-22,90,-4188.9766
-21,90,-4188.9766
-20,90,-4188.9766
-19,90,-4220.4727
-18,90,-4220.4727
-17,90,-4220.4727
-16,90,-4220.4727
-15,90,-4220.4727
-14,90,-4220.4727
-13,90,-4220.4727
-12,90,-4220.4727
-11,90,-4220.4727
-10,90,-4220.4727
-9,90,-4220.4727
-8,90,-4220.4727
-7,90,-4188.9766
-6,90,-4188.9766
-5,90,-4188.9766
-4,90,-4188.9766
-3,90,-4188.9766
-2,90,-4188.9766
-1,90,-4188.9766
0,90,-4188.9766
1,90,-4188.9766
2,90,-4188.9766
3,90,-4188.9766
4,90,-4188.9766
5,90,-4188.9766
6,90,-4188.9766
7,90,-4188.9766
8,90,-4188.9766
9,90,-4188.9766
10,90,-4157.4805
11,90,-4157.4805
12,90,-4157.4805
13,90,-4157.4805
14,90,-4157.4805
15,90,-4157.4805
16,90,-4157.4805
17,90,-4157.4805
18,90,-4157.4805
19,90,-4157.4805
20,90,-4157.4805
21,90,-4157.4805
22,90,-4157.4805
23,90,-4157.4805
24,90,-4157.4805
25,90,-4157.4805
26,90,-4157.4805
27,90,-4157.4805
28,90,-4157.4805
29,90,-4157.4805
30,90,-4157.4805
31,90,-4157.4805
32,90,-4157.4805
33,90,-4157.4805
34,90,-4188.9766
35,90,-4188.9766
36,90,-4188.9766
37,90,-4188.9766
38,90,-4188.9766
39,90,-4188.9766
40,90,-4188.9766
41,90,-4188.9766
42,90,-4188.9766
43,90,-4188.9766
44,90,-4188.9766
45,90,-4188.9766
46,90,-4220.4727
47,90,-4220.4727
48,90,-4188.9766
49,90,-4188.9766
50,90,-4188.9766
51,90,-4188.9766
52,90,-4188.9766
53,90,-4188.9766
54,90,-4188.9766
55,90,-4188.9766
56,90,-4188.9766
57,90,-4188.9766
58,90,-4188.9766
59,90,-4188.9766
60,90,-4188.9766
61,90,-4188.9766
62,90,-4188.9766
63,90,-4188.9766
64,90,-4188.9766
65,90,-4188.9766
66,90,-4188.9766
67,90,-4188.9766
68,90,-4188.9766
69,90,-4188.9766
70,90,-4188.9766
71,90,-4188.9766
72,90,-4188.9766
73,90,-4188.9766
74,90,-4188.9766
75,90,-4188.9766
76,90,-4188.9766
77,90,-4188.9766
78,90,-4188.9766
79,90,-4188.9766
80,90,-4188.9766
81,90,-4188.9766
82,90,-4188.9766
83,90,-4188.9766
84,90,-4188.9766
85,90,-4188.9766
86,90,-4188.9766
87,90,-4188.9766
88,90,-4188.9766
89,90,-4188.9766
90,90,-4188.9766
91,90,-4188.9766
92,90,-4157.4805
93,90,-4157.4805
94,90,-4157.4805
95,90,-4157.4805
96,90,-4157.4805
97,90,-4157.4805
98,90,-4125.9844
99,90,-4125.9844
100,90,-4125.9844
101,90,-4125.9844
102,90,-4125.9844
103,90,-4094.4883
104,90,-4094.4883
105,90,-4094.4883
106,90,-4125.9844
107,90,-4125.9844
108,90,-4157.4805
109,90,-4157.4805
110,90,-4157.4805
111,90,-4157.4805
112,90,-4157.4805
113,90,-4157.4805
114,90,-4157.4805
115,90,-4157.4805
116,90,-4157.4805
117,90,-4157.4805
118,90,-4188.9766
119,90,-4188.9766
120,90,-4188.9766
121,90,-4188.9766
122,90,-4220.4727
123,90,-4220.4727
124,90,-4220.4727
125,90,-4220.4727
126,90,-4220.4727
127,90,-4220.4727
128,90,-4220.4727
129,90,-4220.4727
130,90,-4188.9766
131,90,-4188.9766
132,90,-4188.9766
133,90,-4157.4805
134,90,-4188.9766
135,90,-4188.9766
136,90,-4220.4727
137,90,-4220.4727
138,90,-4220.4727
139,90,-4220.4727
140,90,-4220.4727
141,90,-4220.4727
142,90,-4220.4727
143,90,-4220.4727
144,90,-4188.9766
145,90,-4188.9766
146,90,-4188.9766
147,90,-4157.4805
148,90,-4157.4805
149,90,-4157.4805
150,90,-4125.9844
151,90,-4125.9844
152,90,-4125.9844
153,90,-4125.9844
154,90,-4125.9844
155,90,-4125.9844
156,90,-4125.9844
157,90,-4125.9844
158,90,-4157.4805
159,90,-4157.4805
160,90,-4157.4805
161,90,-4157.4805
162,90,-4157.4805
163,90,-4157.4805
164,90,-4157.4805
165,90,-4157.4805
166,90,-4157.4805
167,90,-4157.4805
168,90,-4157.4805
169,90,-4125.9844
170,90,-4157.4805
171,90,-4157.4805
172,90,-4157.4805
173,90,-4188.9766
174,90,-4188.9766
175,90,-4188.9766
176,90,-4157.4805
177,90,-4157.4805
178,90,-4125.9844
179,90,-4125.9844
-180,89,-3842.5198
-179,89,-3874.0159
-178,89,-3874.0159
-177,89,-3842.5198
-176,89,-3842.5198
-175,89,-3874.0159
-174,89,-3874.0159
-173,89,-3811.0237
-172,89,-3748.0315
-171,89,-3653.5432
-170,89,-3590.5513
-169,89,-3527.559
-168,89,-3590.5513
-167,89,-3874.0159
-166,89,-3937.0078
-165,89,-3937.0078
-164,89,-3905.5117
-163,89,-3937.0078
-162,89,-3937.0078
-161,89,-3968.504
-160,89,-3937.0078
-159,89,-3937.0078
-158,89,-3937.0078
-157,89,-3905.5117
-156,89,-3842.5198
-155,89,-3842.5198
-154,89,-3874.0159
-153,89,-3905.5117
-152,89,-3905.5117
-151,89,-3905.5117
-150,89,-3874.0159
-149,89,-3622.0474
-148,89,-3433.0708
-147,89,-3685.0393
-146,89,-3748.0315
-145,89,-3685.0393
-144,89,-3590.5513
-143,89,-3716.5354
-142,89,-3842.5198
-141,89,-3905.5117
-140,89,-3905.5117
-139,89,-3842.5198
-138,89,-3779.5276
-137,89,-3716.5354
-136,89,-3716.5354
-135,89,-3433.0708
-134,89,-3622.0474
-133,89,-3685.0393
-132,89,-3685.0393
-131,89,-3685.0393
-130,89,-3685.0393
-129,89,-3464.567
-128,89,-3496.063
-127,89,-3559.0552
-126,89,-3433.0708
-125,89,-3401.5747
-124,89,-3370.0789
-123,89,-3212.5984
-122,89,-3244.0945
-121,89,-3433.0708
-120,89,-3559.0552
-119,89,-3716.5354
-118,89,-3779.5276
-117,89,-3779.5276
-116,89,-3748.0315
-115,89,-3716.5354
-114,89,-3685.0393
-113,89,-3748.0315
-112,89,-3748.0315
-111,89,-3779.5276
-110,89,-3779.5276
-109,89,-3842.5198
-108,89,-3874.0159
-107,89,-3779.5276
-106,89,-3842.5198
-105,89,-3905.5117
-104,89,-3842.5198
-103,89,-3716.5354
-102,89,-3559.0552
-101,89,-3370.0789
-100,89,-3212.5984
-99,89,-3149.6062
-98,89,-3055.1182
-97,89,-2960.63
-96,89,-2897.6377
-95,89,-2740.1575
-94,89,-2582.6772
-93,89,-2393.7007
-92,89,-2204.7244
-91,89,-2078.7402
-90,89,-1921.2599
-89,89,-1858.2677
-88,89,-1669.2914
-87,89,-1669.2914
-86,89,-1858.2677
-85,89,-1858.2677
-84,89,-1795.2756
-83,89,-1763.7795
-82,89,-1763.7795
-81,89,-1763.7795
-80,89,-1669.2914
-79,89,-1543.3071
-78,89,-1448.8188
-77,89,-1385.8268
-76,89,-1385.8268
-75,89,-1385.8268
-74,89,-1385.8268
-73,89,-1385.8268
-72,89,-1385.8268
-71,89,-1385.8268
-70,89,-1322.8346
-69,89,-1228.3464
-68,89,-1196.8503
-67,89,-1196.8503
-66,89,-1291.3386
-65,89,-1543.3071
-64,89,-1763.7795
-63,89,-1984.252
-62,89,-2236.2205
-61,89,-2362.2048
-60,89,-2425.1968
-59,89,-2425.1968
-58,89,-2425.1968
-57,89,-2393.7007
-56,89,-2393.7007
-55,89,-2362.2048
-54,89,-2393.7007
-53,89,-2708.6614
-52,89,-2803.1497
-51,89,-2866.1418
-50,89,-2960.63
-49,89,-3118.1104
-48,89,-3307.0867
-47,89,-3590.5513
-46,89,-3842.5198
-45,89,-3968.504
-44,89,-4000
-43,89,-4000
-42,89,-3937.0078
-41,89,-3905.5117
-40,89,-3937.0078
-39,89,-3968.504
-38,89,-3968.504
-37,89,-3968.504
-36,89,-3968.504
-35,89,-4000
-34,89,-4000
-33,89,-4031.496
-32,89,-4062.9922
-31,89,-4062.9922
-30,89,-4094.4883
-29,89,-4125.9844
-28,89,-4125.9844
-27,89,-4157.4805
-26,89,-4188.9766
-25,89,-4220.4727
-24,89,-4251.9683
-23,89,-4251.9683
-22,89,-4283.4644
-21,89,-4251.9683
-20,89,-4251.9683
-19,89,-4251.9683
-18,89,-4251.9683
-17,89,-4251.9683
-16,89,-4251.9683
-15,89,-4251.9683
-14,89,-4251.9683
-13,89,-4251.9683
-12,89,-4283.4644
-11,89,-4283.4644
-10,89,-4283.4644
-9,89,-4283.4644
-8,89,-4283.4644
-7,89,-4283.4644
-6,89,-4283.4644
-5,89,-4283.4644
-4,89,-4283.4644
-3,89,-4283.4644
-2,89,-4251.9683
-1,89,-4251.9683
0,89,-4251.9683
1,89,-4220.4727
2,89,-4220.4727
3,89,-4220.4727
4,89,-4251.9683
5,89,-4283.4644
6,89,-4346.4565
7,89,-4377.9526
8,89,-4409.4487
9,89,-4377.9526
10,89,-4346.4565
11,89,-4346.4565
12,89,-4314.9604
13,89,-4283.4644
14,89,-4251.9683
15,89,-4251.9683
16,89,-4251.9683
17,89,-4251.9683
18,89,-4251.9683
19,89,-4251.9683
20,89,-4251.9683
21,89,-4251.9683
22,89,-4251.9683
23,89,-4251.9683
24,89,-4251.9683
25,89,-4251.9683
26,89,-4251.9683
27,89,-4251.9683
28,89,-4251.9683
29,89,-4251.9683
30,89,-4251.9683
31,89,-4251.9683
32,89,-4251.9683
33,89,-4251.9683
34,89,-4251.9683
35,89,-4251.9683
36,89,-4251.9683
37,89,-4251.9683
38,89,-4251.9683
39,89,-4251.9683
40,89,-4251.9683
41,89,-4251.9683
42,89,-4251.9683
43,89,-4251.9683
44,89,-4251.9683
45,89,-4251.9683
46,89,-4251.9683
47,89,-4251.9683
48,89,-4251.9683
49,89,-4251.9683
50,89,-4251.9683
51,89,-4251.9683
52,89,-4251.9683
53,89,-4251.9683
54,89,-4251.9683
55,89,-4251.9683
56,89,-4251.9683
57,89,-4251.9683
58,89,-4251.9683
59,89,-4251.9683
60,89,-4251.9683
61,89,-4251.9683
62,89,-4251.9683
63,89,-4251.9683
64,89,-4251.9683
65,89,-4251.9683
66,89,-4251.9683
67,89,-4251.9683
