Species,Type,FeedType,Prop,W0,Wmax,Wmat,SearchCoef,SearchExp,PPMRscale,PPMR,FeedWidth,GrossGEscale,Carbon,Repro,Fmort,Fmort_W0,Fmort_Wmax,PlotColour
Flagellates,Zooplankton,Heterotroph,0.1,-10.7,-6.8,-8.8,640,0.8,1.5,NA,0.36,2.5,0.15,0,0,-8.8,-6.8,seagreen3
Ciliates,Zooplankton,Heterotroph,0.1,-9.3,-6.3,-8.3,640,0.8,0.04,NA,0.47,2.5,0.15,0,0,-8.3,-6.3,seagreen4
Larvaceans,Zooplankton,FilterFeeder,0.1,-6.4,-3.2,-5.2,640,0.8,-3,NA,0.7,2.5,0.02,0,0,-5.2,-3.2,lightgoldenrod4
OmniCopepods,Zooplankton,Omnivore,0.04,-7.5,-3.5,-5.5,640,0.8,-0.5,NA,0.57,2.5,0.12,0,0,-5.5,-3.5,cornflowerblue
CarnCopepods,Zooplankton,Carnivore,0.06,-7.5,-2.5,-4.5,640,0.8,1.5,NA,0.36,2.5,0.12,0,0,-4.5,-2.5,darkred
Euphausiids,Zooplankton,Omnivore,0.1,-4.2,0.2,-1.8,640,0.8,-2,NA,0.7,2.5,0.12,0,0,-1.8,0.2,darkblue
Chaetognaths,Zooplankton,Carnivore,0.1,-5.9,-0.9,-2.9,640,0.8,1,NA,0.46,2.5,0.04,0,0,-2.9,-0.9,firebrick1
Salps,Zooplankton,FilterFeeder,0.01,-4.7,1.4,-0.6,640,0.8,-2.68,NA,0.7,2.5,0.02,0,0,-0.6,1.4,lightgoldenrod3
Jellyfish,Zooplankton,Carnivore,0.01,-3,2,0,640,0.8,0.73,NA,0.52,2.5,0.005,0,0,0,2,orange
Fish_Small,Fish,Carnivore,NA,-3,2,0,640,0.8,NA,100,1.3,2.5,0.1,0,0,0,2,lightcoral
Fish_Med,Fish,Carnivore,NA,-3,4,2,640,0.8,NA,100,1.3,2.5,0.1,0,0,2,4,coral3
Fish_Large,Fish,Carnivore,NA,-3,7,4,640,0.8,NA,100,1.3,2.5,0.1,0,0,4,7,coral4
